mcule_id	smiles	insoluble
M1051565	CC1=NN(C2=C1C(C1=CC=CC=C1)C(C#N)=C(N)O2)C1=CC=CC=C1	0
M1051480	OC(=O)C(O)=O.O=C(CN1CCOCC1)NC1=CC=C2OCCOC2=C1	0
M1051586	OC1=CC=CC=C1OCC(=O)N1CCCCCC1	0
M760111	CN1C(=C)C(C)(C)C2=CC=C(CN3C(=O)C4=CC=CC=C4C3=O)C=C12	0
M760136	CNC1=CC=CC=C1C(C)(C)C1=CC(=NO1)C1=CC=CC=C1	0
M760175	OC(C(O)C1=NC2=C(N1)C=CC=C2)C1=NC2=C(N1)C=CC=C2	0
M1114780	CC(C)CC(NC1=C(Cl)C(=O)C2=CC=CC=C2C1=O)C(O)=O	0
M1051473	FC1=CC=CC(=C1)N(CN1C(=O)C2=CC=CC=C2C1=O)C(=O)C1=CC=CC(Cl)=C1	0
M1114781	O=C(NC1=CC=C2OCCOC2=C1)C12CC3CC(CC(C3)C1)C2	0
M760242	COC1=CC(OC)=C2C(CCCCCC(=O)CCCC(C)OC2=O)=C1	0
M773467	NC1=C(C(=O)CN1C1=CC=CC(Cl)=C1)C1=CC=CC=C1	0
M1114782	CCOC(=O)C1=C(C)C(C(=O)OCC)=C(NC(=O)CN(CC)CC)S1	0
M1114783	BrC1=CC=C(C=C(C#N)C2=NC3=C(S2)C=CC=C3)C=C1	0
M1114784	Cl.CSC1=NC2=C(S1)C=C(NC(=O)C1=CC=C(Br)S1)C=C2	0
M1114785	CCOC1=CC=C2C=CC=CC2=C1C1NC(=O)NC(C)=C1[N+]([O-])=O	0
M1114786	CC(N(C(=O)C1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=N1)C1=CC=CO1	0
M1114787	O=C(CSCC(=O)C1=CC=CC=C1)C1=CC=CC=C1	0
M1114788	CC1=C(C(=NN1)C1=CC=C(O)C=C1O)C1=CC=C2OCCCOC2=C1	0
M3539	CN(C)C1=CC=C(C=C2N=C(OC2=O)C2=CC=CC=C2)C=C1	0
M770323	CCOC(=O)C1=C(C)NC(=O)NC1C1=CC=CC(Br)=C1	0
